nmbr,location,lat,lon,carrington_lo,area,z_class,ll,nn,mag_type,date,pixel_x,pixel_y,crop_filename
9751,N04W64,4,64,142,190,Eai,12,17,Beta-Gamma,2002-01-01,957.1431393543056,557.296844878804,20020101_9751.npy
9753,S17W60,-17,60,138,60,Dso,9,10,Beta,2002-01-01,923.1533008556872,378.3381687063522,20020101_9753.npy
9754,S08W42,-8,42,120,70,Eai,11,20,Beta-Gamma,2002-01-01,840.7741593243934,461.1447787918864,20020101_9754.npy
9755,S04W16,-4,16,94,140,Dso,4,10,Beta,2002-01-01,647.4002400827833,501.4756945521816,20020101_9755.npy
9756,S29E08,-29,-8,70,30,Cao,3,4,Beta,2002-01-01,449.6220587869052,292.2952299813687,20020101_9756.npy
9761,N11E08,11,-8,70,40,Hsx,2,1,Alpha,2002-01-01,442.0273870741167,631.6185058491399,20020101_9761.npy
9763,N07E20,7,-20,58,40,Hsx,2,1,Alpha,2002-01-01,340.8983522234004,596.211330879445,20020101_9763.npy
9764,N15W24,15,24,102,70,Dao,6,11,Beta,2002-01-01,706.247689806263,663.1346168854059,20020101_9764.npy
9765,N06E36,6,-36,42,120,Dso,6,6,Beta,2002-01-01,218.98474116609816,584.1662641326408,20020101_9765.npy
9766,N05E48,5,-48,30,20,Cso,4,2,Beta,2002-01-01,141.7649059915895,571.8655100872506,20020101_9766.npy
9767,S23E60,-23,-60,18,510,Eki,13,17,Beta-Gamma,2002-01-01,114.05759757876068,328.8727819393972,20020101_9767.npy
9751,N03W77,3,77,142,150,Eai,14,12,Beta-Gamma,2002-01-02,995.0517102641908,543.2866666237483,20020102_9751.npy
9753,S17W73,-17,73,138,70,Cso,10,7,Beta,2002-01-02,966.0496435559018,373.5891224730475,20020102_9753.npy
9754,S07W55,-7,55,120,100,Dai,9,19,Beta,2002-01-02,915.7608940746074,466.0251716886817,20020102_9754.npy
9755,S08W29,-8,29,94,140,Dso,5,12,Beta,2002-01-02,749.9100848095444,465.3632168243871,20020102_9755.npy
9756,S28W05,-28,5,70,20,Hsx,1,1,Alpha,2002-01-02,548.8424809177508,301.18400889914983,20020102_9756.npy
9761,N10W05,10,5,70,50,Hsx,2,1,Alpha,2002-01-02,553.1571423684269,624.2864930951542,20020102_9761.npy
9763,N06E07,6,-7,58,40,Hsx,2,1,Alpha,2002-01-02,449.84548745443294,590.0027627277551,20020102_9763.npy
9764,N14W37,14,37,102,170,Dao,8,14,Beta,2002-01-02,801.6605599712373,652.6066655987187,20020102_9764.npy
9765,N06E24,6,-24,41,80,Dso,4,7,Beta,2002-01-02,308.65565897908806,587.8245867200028,20020102_9765.npy
9766,N04E35,4,-35,30,20,Hrx,1,1,Alpha,2002-01-02,225.2599961236725,567.9939527958134,20020102_9766.npy
9767,S23E49,-23,-49,16,510,Ehi,14,22,Beta-Gamma,2002-01-02,164.74577496007169,333.11902981150604,20020102_9767.npy
9768,S06W15,-6,15,80,10,Bxo,3,5,Beta,2002-01-02,638.786036811052,485.1506208659156,20020102_9768.npy
9751,N04W89,4,89,141,80,Dao,9,4,Beta,2002-01-03,1007.2498900862904,546.3089954836562,20020103_9751.npy
9754,S07W68,-7,68,120,175,Eai,11,17,Beta,2002-01-03,969.3629145725791,461.1030339950813,20020103_9754.npy
9755,S04W42,-4,42,94,90,Dso,5,6,Beta,2002-01-03,843.7913193616256,497.30446206649685,20020103_9755.npy
9761,N11W18,11,18,70,30,Cso,4,2,Beta,2002-01-03,662.2130151231851,632.4461113697841,20020103_9761.npy
9763,N06W06,6,6,58,40,Hsx,2,1,Alpha,2002-01-03,562.7090752013593,591.0440199264781,20020103_9763.npy
9764,N14W50,14,50,102,200,Dao,9,14,Beta,2002-01-03,881.4501805136115,649.0183993156986,20020103_9764.npy
9765,N06E11,6,-11,41,80,Dso,4,5,Beta,2002-01-03,416.167493771042,590.6613006848607,20020103_9765.npy
9766,N04E21,4,-21,31,0,Axx,0,1,Alpha,2002-01-03,332.56191579598703,572.0540432686158,20020103_9766.npy
9767,S23E36,-23,-36,16,410,Eai,14,37,Beta-Gamma,2002-01-03,241.3945396458344,337.5860287460553,20020103_9767.npy
9768,S06W28,-6,28,80,30,Dso,6,7,Beta,2002-01-03,743.8186924346015,483.8098160152719,20020103_9768.npy
9769,S19W33,-19,33,85,30,Dso,4,4,Beta,2002-01-03,767.7919003715886,371.40173309850667,20020103_9769.npy
