nmbr,location,lat,lon,carrington_lo,area,z_class,ll,nn,mag_type,date
9751,N04W64,4,64,142,190,Eai,12,17,Beta-Gamma,2002-01-01
9753,S17W60,-17,60,138,60,Dso,9,10,Beta,2002-01-01
9754,S08W42,-8,42,120,70,Eai,11,20,Beta-Gamma,2002-01-01
9755,S04W16,-4,16,94,140,Dso,4,10,Beta,2002-01-01
9756,S29E08,-29,-8,70,30,Cao,3,4,Beta,2002-01-01
9761,N11E08,11,-8,70,40,Hsx,2,1,Alpha,2002-01-01
9763,N07E20,7,-20,58,40,Hsx,2,1,Alpha,2002-01-01
9764,N15W24,15,24,102,70,Dao,6,11,Beta,2002-01-01
9765,N06E36,6,-36,42,120,Dso,6,6,Beta,2002-01-01
9766,N05E48,5,-48,30,20,Cso,4,2,Beta,2002-01-01
9767,S23E60,-23,-60,18,510,Eki,13,17,Beta-Gamma,2002-01-01
9751,N03W77,3,77,142,150,Eai,14,12,Beta-Gamma,2002-01-02
9753,S17W73,-17,73,138,70,Cso,10,7,Beta,2002-01-02
9754,S07W55,-7,55,120,100,Dai,9,19,Beta,2002-01-02
9755,S08W29,-8,29,94,140,Dso,5,12,Beta,2002-01-02
9756,S28W05,-28,5,70,20,Hsx,1,1,Alpha,2002-01-02
9761,N10W05,10,5,70,50,Hsx,2,1,Alpha,2002-01-02
9763,N06E07,6,-7,58,40,Hsx,2,1,Alpha,2002-01-02
9764,N14W37,14,37,102,170,Dao,8,14,Beta,2002-01-02
9765,N06E24,6,-24,41,80,Dso,4,7,Beta,2002-01-02
9766,N04E35,4,-35,30,20,Hrx,1,1,Alpha,2002-01-02
9767,S23E49,-23,-49,16,510,Ehi,14,22,Beta-Gamma,2002-01-02
9768,S06W15,-6,15,80,10,Bxo,3,5,Beta,2002-01-02
9751,N04W89,4,89,141,80,Dao,9,4,Beta,2002-01-03
9754,S07W68,-7,68,120,175,Eai,11,17,Beta,2002-01-03
9755,S04W42,-4,42,94,90,Dso,5,6,Beta,2002-01-03
9761,N11W18,11,18,70,30,Cso,4,2,Beta,2002-01-03
9763,N06W06,6,6,58,40,Hsx,2,1,Alpha,2002-01-03
9764,N14W50,14,50,102,200,Dao,9,14,Beta,2002-01-03
9765,N06E11,6,-11,41,80,Dso,4,5,Beta,2002-01-03
9766,N04E21,4,-21,31,0,Axx,0,1,Alpha,2002-01-03
9767,S23E36,-23,-36,16,410,Eai,14,37,Beta-Gamma,2002-01-03
9768,S06W28,-6,28,80,30,Dso,6,7,Beta,2002-01-03
9769,S19W33,-19,33,85,30,Dso,4,4,Beta,2002-01-03
9770,N08W29,8,29,81,30,Cso,4,8,Beta,2002-01-03
9771,S20E17,-20,-17,35,10,Bxo,5,5,Beta,2002-01-03
9754,S05W81,-5,81,121,160,Eao,11,10,Beta,2002-01-04
9755,S04W55,-4,55,95,70,Cso,5,4,Beta,2002-01-04
9761,N11W31,11,31,71,20,Hsx,2,3,Alpha,2002-01-04
9763,N07W20,7,20,59,50,Hsx,2,1,Alpha,2002-01-04
9764,N14W64,14,64,104,170,Dao,10,7,Beta,2002-01-04
9765,N06W03,6,3,43,70,Cso,3,4,Beta,2002-01-04
9766,N07E08,7,-8,32,10,Bxo,3,2,Beta,2002-01-04
9767,S23E23,-23,-23,17,310,Eai,14,39,Beta-Gamma,2002-01-04
9768,S07W43,-7,43,83,40,Cso,7,5,Beta,2002-01-04
9769,S19W45,-19,45,85,60,Dso,6,5,Beta,2002-01-04
9770,N09W41,9,41,81,50,Cso,4,9,Beta,2002-01-04
9771,S20E05,-20,-5,35,40,Cro,7,9,Beta,2002-01-04
9772,S18E83,-18,-83,317,120,Hax,2,1,Alpha,2002-01-04
9754,S07W92,-7,92,119,20,Cso,2,5,Beta,2002-01-05
9755,S03W71,-3,71,98,90,Hsx,2,2,Alpha,2002-01-05
9761,N11W45,11,45,72,10,Hsx,1,1,Alpha,2002-01-05
9763,N06W34,6,34,61,20,Hsx,2,3,Alpha,2002-01-05
9764,N14W80,14,80,107,170,Dao,10,6,Beta,2002-01-05
9765,N06W16,6,16,43,70,Cso,7,9,Beta,2002-01-05
9767,S22E08,-22,-8,19,340,Fki,17,51,Beta-Gamma,2002-01-05
9768,S06W58,-6,58,85,50,Dso,5,11,Beta,2002-01-05
9769,S19W61,-19,61,88,170,Dso,5,2,Beta,2002-01-05
9770,N07W55,7,55,82,50,Cso,5,8,Beta,2002-01-05
9771,S20W10,-20,10,37,60,Cso,9,13,Beta,2002-01-05
9772,S16E65,-16,-65,322,60,Hax,2,1,Alpha,2002-01-05
9773,N14E64,14,-64,323,80,Cso,7,6,Beta,2002-01-05
9755,S05W83,-5,83,96,60,Hsx,2,1,Alpha,2002-01-06
9761,N12W56,12,56,69,20,Hsx,1,1,Alpha,2002-01-06
9763,N06W45,6,45,58,10,Hsx,1,1,Alpha,2002-01-06
9764,N13W89,13,89,102,90,Dao,6,3,Beta,2002-01-06
9765,N07W25,7,25,38,70,Cso,7,3,Beta,2002-01-06
9767,S22W03,-22,3,16,320,Fki,17,34,Beta-Gamma,2002-01-06
9768,S04W70,-4,70,83,160,Dso,8,12,Beta,2002-01-06
9769,S18W72,-18,72,85,90,Dso,5,3,Beta,2002-01-06
9770,N07W62,7,62,75,90,Cso,6,10,Beta,2002-01-06
9771,S23W20,-23,20,33,30,Dso,4,4,Beta,2002-01-06
9772,S17E52,-17,-52,321,50,Hsx,2,1,Alpha,2002-01-06
9773,N13E52,13,-52,321,130,Dso,8,8,Beta,2002-01-06
9761,N10W70,10,70,70,10,Axx,1,1,Alpha,2002-01-07
9763,N06W59,6,59,59,20,Hrx,1,1,Alpha,2002-01-07
9765,N06W41,6,41,41,70,Hsx,1,1,Alpha,2002-01-07
9767,S22W17,-22,17,17,280,Fai,16,29,Beta-Gamma,2002-01-07
9768,S05W84,-5,84,84,220,Dao,9,6,Beta-Gamma,2002-01-07
9769,S18W88,-18,88,88,30,Hsx,1,1,Alpha,2002-01-07
9771,S23W34,-23,34,34,10,Bxo,9,5,Beta,2002-01-07
9772,S17E38,-17,-38,322,70,Hsx,2,1,Alpha,2002-01-07
9773,N13E36,13,-36,324,140,Dao,7,8,Beta,2002-01-07
9761,N09W83,9,83,70,10,Axx,1,1,Alpha,2002-01-08
9763,N05W73,5,73,60,10,Axx,1,1,Alpha,2002-01-08
9765,N06W54,6,54,41,70,Cso,11,2,Beta,2002-01-08
9767,S22W30,-22,30,17,250,Fai,16,28,Beta-Gamma,2002-01-08
9771,S21W49,-21,49,36,10,Bxo,7,6,Beta,2002-01-08
9772,S17E24,-17,-24,323,60,Hsx,1,1,Alpha,2002-01-08
9773,N12E22,12,-22,325,120,Dao,8,13,Beta,2002-01-08
9774,N12W37,12,37,24,10,Bxo,4,2,Beta,2002-01-08
9775,S06E37,-6,-37,310,20,Cro,3,3,Beta,2002-01-08
9776,N10E59,10,-59,288,10,Axx,0,1,Alpha,2002-01-08
9765,N06W71,6,71,45,70,Hsx,2,1,Alpha,2002-01-09
9767,S21W43,-21,43,17,160,Eao,14,16,Beta-Gamma,2002-01-09
9772,S16E11,-16,-11,323,60,Hsx,2,1,Alpha,2002-01-09
9773,N13E07,13,-7,327,90,Dao,8,19,Beta,2002-01-09
9775,S05E24,-5,-24,310,40,Cso,7,10,Beta,2002-01-09
9776,N11E46,11,-46,288,40,Cso,3,3,Beta,2002-01-09
9777,S06E64,-6,-64,270,10,Axx,1,1,Alpha,2002-01-09
9778,S15E67,-15,-67,267,60,Hsx,2,1,Alpha,2002-01-09
9779,N28E65,28,-65,269,150,Hsx,3,1,Alpha,2002-01-09
9765,N07W86,7,86,47,40,Hsx,2,1,Alpha,2002-01-10
9767,S18W61,-18,61,22,170,Dao,10,6,Beta,2002-01-10
